sentence,np,vp,ner_rich
"If countries but not mountains
","['countries mountains']
","[] 
",0
"have populations, then in ""What is the population of Kenya?
","['populations', 'population Kenya']
","[] 
",0
""", Kenya means the country, not the mountain.
","['Kenya', 'country', 'mountain']
","['means'] 
",0
"By
","[]
","[] 
",0
"assuming the user will adapt to the system and that NL can substitute for an artificial language, the NL interface
","['user adapt system NL substitute', 'artificial language', 'NL interface']
","['assuming'] 
",0
"treats each question in isolation with only a very general, weak notion of tim goal in an utterance.
","['treats', 'isolation general', 'weak notion tim goal utterance']
","['question'] 
",0
"The availability of these kinds of restrictions has aUowed NL database query systems to be successful
","['The availability', 'restrictions', 'NL database query systems']
","['kinds', 'aUowed'] 
",1
"using relatively simple frameworks in which to encode the necessary knowledge sources {grammars, type and sortal
","['simple frameworks', 'necessary knowledge sources', 'grammars', 'type sortal']
","['using', 'encode'] 
",1
"information, lists of mentioned entities) applied in relatively simple ways (parsing, recursive tree transformations).
","['information', 'lists', 'entities', 'simple ways', 'recursive tree transformations']
","['mentioned', 'applied', 'parsing'] 
",1
"This is not to minimize the effort required to build the grammar, semantic model, etc.
","['This minimize effort', 'build grammar', 'semantic model']
","['required'] 
",0
"for a particular application.
","['particular application']
","[] 
",0
"The size of the vocabulary per  se is not a limiting factor, though it does impact the initial cost of bringing
","['The size', 'se', 'factor', 'impact initial cost bringing']
","['limiting'] 
",0
"up the NLP.
","['NLP']
","[] 
",0
"Rather what is limiting is the number of word senses per word in the vocabulary, whether the language
","['number word', 'word vocabulary', 'language']
","['Rather limiting', 'senses'] 
",1
"involves substantial intersentential effects (discourse structure), and whether the underlying semantics is richer than
","['involves', 'substantial intersentential effects', 'discourse structure', 'semantics']
","['underlying', 'richer'] 
",1
"that of relational databases.
","['relational databases']
","[] 
",0
"Scientific progress.
","['Scientific progress']
","[] 
",0
"The scientific progress of the last 10 years can be described in terms of traditional
","['The scientific progress', 'years', 'terms']
","['described'] 
",0
"linguistic areas and in terms of task areas.
","['linguistic areas terms', 'areas']
","['task'] 
",0
"The main development in syntax has been the shift from grammars including procedural constructs to ones
","['The main development syntax shift grammars', 'procedural constructs ones']
","['including'] 
",0
"expressed purely declaratively.
","[]
","['expressed'] 
",0
"In contrast to context-free grammars, which use atomic symbols only, these so called
","['contrast', 'context-free grammars', 'atomic symbols']
","['use', 'called'] 
",1
"unification grammars use complex terms instead, with term unification instead of equality checking as the main
","['unification grammars', 'complex terms', 'term unification', 'equality']
","['use', 'checking'] 
",1
"operation.
","['operation']
","[] 
",0
"""nais has allowed for the use of the same grammars with a range of algorithms, both sequential and
","['nais', 'grammars']
","['allowed', 'range'] 
",1
"parallel, for analysis and generation.
","['parallel', 'analysis generation']
","[] 
",0
"Grammar development tools have been written in a variety of unification-
","['Grammar development tools', 'variety']
","['written'] 
",0
"based frameworks, and widely distributed.
","['frameworks']
","['based', 'widely distributed'] 
",1
"Unification grammars are currently being used to apply syntactic (and
","['Unification grammars']
","['currently used'] 
",0
"some semantic) constraints in speech recognition.
","['constraints', 'speech recognition']
","[] 
",0
"Within the family of unification grammars lie the ""mildly
","['family unification']
","['grammars lie'] 
",0
"context-sensitive grammars"" -- a class that properly contains the context-free grammars, and allows the expression
","['context-sensitive grammars', 'class', 'context-free grammars', 'expression']
","['properly contains', 'allows'] 
",1
"of observed syntactic constraints not expressible in CFGs, but whose recognition problem is polynomial-time
","['syntactic constraints', 'expressible CFGs', 'recognition problem polynomial-time']
","['observed'] 
",0
"computable.
","[]
","[] 
",0
"In semantics, the major aspects of the contribution of sentence structure to meaning are understood and
","['semantics', 'major aspects contribution sentence structure meaning understood']
","[] 
",0
"implemented.
","[]
","['implemented'] 
",0
"First steps toward automatically extracting aspects of lexical meaning from machine-readable
","['aspects', 'lexical meaning']
","['First steps', 'automatically extracting'] 
",1
"dictionaries have been taken.
","['dictionaries']
","['taken'] 
",0
"Understanding and generating connected sentences introduces questions such as how texts and dialogues
","['connected sentences introduces questions', 'dialogues']
","['Understanding generating', 'texts'] 
",1
"are structured; how this structure affects interpretation, particularly of referential expressions; how the beliefs,
","['structure', 'interpretation', 'referential expressions', 'beliefs']
","['structured', 'affects'] 
",1
"intentions, and plans of a speaker are conveyed by what is said and how they constrain what is meant, as well as
","['intentions', 'speaker', 'constrain meant']
","['plans', 'conveyed said'] 
",1
"what appropriate responses are.
","['appropriate responses']
","[] 
",0
"All these questions have been and continue to be investigated.
","['All questions']
","['continue investigated'] 
",0
"Underlying logics
","['logics']
","['Underlying'] 
",0
"and algorithms for reasoning about knowledge, belief, intention, and action have been proposed, as have initial
","['knowledge', 'belief', 'intention', 'action']
","['reasoning', 'proposed'] 
",1
"computational models for discourse structure and methods for planning and plan recognition for discourse.
","['computational models', 'structure methods', 'plan recognition discourse']
","['discourse', 'planning'] 
",1
"Although progress continues to be made on query systems, substantial systems have been developed for
","['progress', 'query systems', 'substantial systems']
","['continues made', 'developed'] 
",1
"other applications, all of which were unexplored 10 years ago.
","['applications', 'years']
","['unexplored'] 
",0
"These include several text processing systems
","['several text processing systems']
","['include'] 
",0
"supported by DARPA's Strategic Computing Imtiative (SCI), ranging from systems with very detailed models of
","['DARPA', 'Strategic Computing Imtiative', 'SCI', 'systems', 'models']
","['supported', 'ranging', 'detailed'] 
",1
"one domain, to more general ones adapted to several domains (e.g.-, Naval Casualty Reports, RAINFORMS, terrorist
","['domain', 'general ones', 'several domains', 'Naval Casualty Reports', 'RAINFORMS', 'terrorist']
","['adapted'] 
",0
"reports).
","['reports']
","[] 
",0
"Multi-media interactive problem solving systems have been developed for the environment of Navy Fleet
","['Multi-media', 'interactive problem', 'systems', 'environment Navy Fleet']
","['solving', 'developed'] 
",1
"Command Center decision making and for factory control.
","['Command Center decision', 'factory control']
","['making'] 
",0
"Language generation systems have been implemented to
","['Language generation systems']
","['implemented'] 
",0
"486
","[]
","[] 
",0
"generate multi-sentence explanations of expert system decisions, object or situation descriptions, and instructions
","['multi-sentence explanations', 'system decisions', 'object situation descriptions', 'instructions']
","['generate', 'expert'] 
",1
"from an expert.
","['expert']
","[] 
",0
"2.2.
","[]
","[] 
",0
"Relationships To Other Areas
","['Relationships', 'Other Areas']
","[] 
",0
"Historically, NLP's strongest interaction has been with other areas of artificial intelligence, e.g.-, with work  in knowledge representation and planning.
","['NLP', 'interaction areas', 'artificial intelligence', 'work knowledge representation planning']
","[] 
",0
"During the 1980s, collaboration with theoretical linguistics and cognitive  science has been growing.
","['collaboration', 'theoretical linguistics', 'cognitive science growing']
","[] 
",0
"Lack of widespread availability of high-performance, parallel computers thus far has
","['Lack', 'widespread availability high-performance', 'parallel computers']
","[] 
",0
"limited the algorithms considered; however, efforts in parallelism, including work in connectionist neural network  modeling, may grow in the next decade.
","['limited algorithms', 'efforts parallelism', 'work connectionist', 'neural network modeling', 'next decade']
","['considered', 'including', 'grow'] 
",1
"Until two years ago, interaction with speech scientists had been minimal since the end of the DARPA  Speech Understanding Program in 1976.
","['years', 'interaction speech scientists', 'end DARPA Speech Understanding Program']
","['minimal'] 
",0
"Progress ha natural language processing should contribute directly to  spoken language systems.
","['Progress', 'natural language', 'contribute', 'spoken language systems']
","['processing'] 
",0
"This is true not only where understanding seems to be necessary, e.g.-, voice commands  and requests, translation of speech, etc., but also in speech transcription.
","['This true understanding', 'voice commands requests', 'translation speech', 'etc.', 'speech transcription']
","['seems'] 
",0
"The error rate of speech recognition  systems is directly correlated with the perplexity of the language to be recognized.
","['The error rate speech recognition systems', 'perplexity language']
","['directly correlated', 'recognized'] 
",1
"Statistical language models in  speech transcription have given the lowest perplexity thus far, and therefore, the best performance.
","['Statistical language models', 'transcription', 'perplexity', 'performance']
","['speech', 'given'] 
",1
"Language  processing techniques, whether supplemental or in place of current statistical models, offer the potential of providing  even lower perplexity due to modeling both local and global constraints, as well as supporting speech applications  other than transcription.
","['Language processing techniques', 'supplemental place', 'current statistical models', 'perplexity', 'local global constraints', 'speech applications transcription']
","['offer', 'providing', 'modeling', 'well supporting'] 
",1
"3.
","[]
","[] 
",0
"R e s e a r c h  O p p o r t u n i t i e s
","['R e e r c h O p p r', 'u n e']
","[] 
",0
"To Complement our discussion of ultimate goals and the scientific work needed to achieve them, we here  outline some nearer term research objectives and address evaluation issues.
","['Complement discussion', 'ultimate goals', 'scientific work', 'term research', 'address evaluation issues']
","['needed', 'objectives'] 
",1
"3.1.
","[]
","[] 
",0
"Scientific Objectives  Acquisition of corpora, grammars, and lexicons.
","['Scientific Objectives Acquisition corpora', 'grammars', 'lexicons']
","[] 
",0
"The development of useful systems requires observation
","['The development', 'useful systems', 'observation']
","['requires'] 
",0
"of the behavior of potential users of interactive systems under realistic circumstances, and the collection of corpora  of typical data for text analysis and machine translation systems.
","['behavior potential users', 'interactive systems', 'realistic circumstances', 'collection corpora', 'typical data text analysis machine translation systems']
","[] 
",0
"Although we believe it is unlikely that full  grammars and lexicons can be induced completely automatically in the near future, useful results may be obtained
","['unlikely full grammars lexicons', 'useful results']
","['believe', 'induced', 'obtained'] 
",1
"soon from induction and acquisition techniques based on annotated corpora and machine-readable dictionaries.
","['induction acquisition techniques', 'annotated corpora', 'machine-readable dictionaries']
","['based'] 
",0
"It is  also [ikely that statistical measures useful for biasing algorithms can be extracted from a handcrafted grammar and a  corpus.
","['statistical measures', 'algorithms', 'handcrafted grammar corpus']
","['also [', 'biasing', 'extracted'] 
",1
"Approaches that appear promising axe 1) the learning of grammatical structures where the input has already  been annotated by part of speech and/or phrase structure, and 2) the learning of lexical syntaMsemantics from  examples and/or queries to the user given some pre-coded domain knowledge.
","['Approaches', 'grammatical structures', 'part speech', 'and/or phrase structure', 'lexical syntaMsemantics examples', 'queries', 'pre-coded domain knowledge']
","['appear promising', 'learning', 'input already annotated', 'learning', 'and/or', 'user given'] 
",1
"Increasing expressive power ~ Meaning Representation Languages.
","['expressive power ~ Meaning Representation Languages']
","['Increasing'] 
",0
"Moving beyond database query  systems will require increasing the expressive power of the MRL to include at least modal and higher order  constructs.
","['database query systems', 'expressive power MRL', 'order constructs']
","['Moving', 'require increasing', 'include'] 
",1
"Reasoning tools for modal logics and for second-order logics already exist, but they appear intractable  for language processing tasks.
","['tools', 'modal logics', 'second-order logics', 'intractable language processing tasks']
","['Reasoning', 'already exist', 'appear'] 
",1
"Approaches that seem promising include encoding modal constructs in first-order  logic, hybrid approaches to representation and reasoning, and approaches to resource-limited or shallow reasoning,  such as adding weights to formulae and subformulae.
","['Approaches', 'modal constructs', 'first-order logic', 'hybrid approaches representation reasoning', 'resource-limited shallow reasoning', 'weights', 'formulae subformulae']
","['seem promising include encoding', 'approaches', 'adding'] 
",1
"Reasoning about plans.
","['plans']
","['Reasoning'] 
",0
"Recent work on plan recognition (the inference of the beliefs and intentions of  agents in context) has provided formal definitions of the problem and some new algorithms.
","['Recent work plan recognition', 'inference beliefs intentions agents context', 'formal definitions problem', 'new algorithms']
","['provided'] 
",0
"These have not yet
","[]
","[] 
",0
"487
","[]
","[] 
",0
"been used as part of a discourse component to help resolve reference, quantification, and modification ambiguiues
","['part discourse component help', 'reference', 'quantification', 'modification ambiguiues']
","['used', 'resolve'] 
",1
"or to formulate an appropriate response.
","['formulate appropriate response']
","[] 
",0
"The interaction between plans, discourse structure, and focus of attention  also needs to be investigated.
","['The interaction plans', 'discourse structure', 'focus attention']
","['also needs'] 
",0
"Promising approaches include incorporation of beliefs of the discourse participants,
","['approaches', 'incorporation beliefs', 'discourse participants']
","['Promising', 'include'] 
",1
"integrating existing models into discourse processing under simplifying conditions, and exploring prosodic and  linguistic cues to dialogue.
","['models', 'conditions', 'prosodic linguistic cues dialogue']
","['integrating existing', 'discourse processing simplifying', 'exploring'] 
",1
"Combination of partial information.
","['Combination', 'partial information']
","[] 
",0
"The standard control structure by which various sources of  information are combined in language interpretanon seems to limit what NL systems can do.
","['The standard control structure', 'various sources information', 'language interpretanon', 'limit NL systems']
","['combined', 'seems'] 
",1
"Several proposals for  more flexible control structures have been made recendy, each covering a subset of the knowledge sources
","['Several proposals', 'flexible control structures', 'recendy', 'knowledge sources']
","['made', 'covering subset'] 
",1
"available.
","[]
","[] 
",0
"More comprehensive schemes need to be developed.
","['comprehensive schemes']
","['need developed'] 
",0
"Two promising approaches are generalization of  unification to NL architectures and use of global, weighted control strategies, as in evidential reasoning.
","['promising approaches generalization unification NL', 'use', 'weighted control strategies', 'evidential reasoning']
","['architectures'] 
",0
"Improving robustness.
","['robustness']
","['Improving'] 
",0
"Published studies suggest that as much as 25 to 30% of typed input contains errors,  is incomplete, uses novel language, or otherwise involves challenging phenomena that are not well handled  theoretically.
","['studies', '%', 'input contains errors', 'novel language']
","['Published', 'suggest', 'typed', 'uses', 'otherwise involves challenging', 'phenomena well handled'] 
",1
"Some experts believe the frequency of occurrence for these classes is even higher in spoken language  than in wntten language.
","['Some experts', 'frequency occurrence classes', 'spoken language', 'wntten language']
","['believe'] 
",0
"The text of some messages, such as Navy RAINFORM and CASREP messages and bank
","['The text messages', 'Navy RAINFORM CASREP messages bank']
","[] 
",0
"telexes, is highly telegraphic.
","['telexes']
","[] 
",0
"It should be possible to develop a domain-independent theory that allows at least  partial understanding of some of these novel and errorful uses, and to test it in narrowly defined domains.
","['domain-independent theory', 'partial understanding novel', 'errorful uses', 'test', 'domains']
","['develop', 'allows', 'narrowly defined'] 
",1
"Promising  approaches are to employ unification strategies, plan recognition, and weighted control strategies to determine the  most likely interpretation and the most appropriate response/action.
","['approaches', 'employ unification strategies', 'plan recognition', 'control strategies', 'likely interpretation', 'appropriate response/action']
","['Promising', 'weighted', 'determine'] 
",1
"Explonng ~ relationship between linguistic and conceptual knowledge.
","['Explonng ~ relationship', 'linguistic conceptual knowledge']
","[] 
",0
"Use and interpretation of  metaphor illustrates a prevalent relationship between linguistic and conceptual knowledge.
","['Use interpretation metaphor', 'prevalent relationship', 'linguistic conceptual knowledge']
","['illustrates'] 
",0
"For example, there is
","['example']
","[] 
",0
"obvious systematicity in the use of expressions like ""kill the engine"" and ""my engine died"" which extends to other  domains (""kill that process"" and ""my  process died"").
","['obvious systematicity', 'expressions', 'engine', 'engine', 'domains', 'process', 'process']
","['use', 'died', 'extends', 'kill', 'died'] 
",1
"An understanding of such issues has been shown in the lab
","['An understanding issues', 'lab']
","['shown'] 
",0
"to be effective for language learning, where such regularities have been effectively exploited to learn extended word  meanings.
","['effective language learning', 'regularities', 'learn', 'word meanings']
","['effectively exploited', 'extended'] 
",1
"A domain-independent theory of the relationship could he developed and tested.
","['A domain-independent theory relationship']
","['developed tested'] 
",0
"Relating interpretation and action.
","['interpretation action']
","['Relating'] 
",0
"The problem of how to relate interpretations expressed in an MRL and  calls to application systems (databases, summarizing algorithms, etc.)
","['The problem relate interpretations', 'MRL', 'application systems', 'databases', 'algorithms']
","['expressed', 'calls', 'summarizing'] 
",1
"has not been fully resolved, or in fact  precisely stated.
","['fact']
","['fully resolved', 'precisely stated'] 
",1
"Resolving this relationship is crucial to the systematic separation of the natural language part of the  system from the application part.
","['relationship', 'crucial systematic separation', 'natural language part system application part']
","['Resolving'] 
",0
"Any approach should deal with applications beyond databases (beyond the  semantics of tables) and should avoid the challenges of automatic programming.
","['Any approach deal applications', 'databases', 'semantics tables', 'automatic programming']
","['avoid challenges'] 
",0
"Finding the relationship between prosody, syntactic ambiguity, and discourse structure.
","['relationship prosody', 'syntactic ambiguity', 'discourse structure']
","['Finding'] 
",0
"Syntactic and  discourse boundaries are one of the main sources of interpretation ambiguity.
","['Syntactic discourse boundaries', 'main sources interpretation ambiguity']
","[] 
",0
"Recently discovered evidence shows  that prosodic information is a good indicator of these boundaries.
","['evidence shows', 'prosodic information', 'good indicator boundaries']
","['Recently discovered'] 
",0
"Automatic extraction of prosodic information  would revolutionize the interpretation of spoken language.
","['Automatic extraction', 'prosodic information', 'interpretation', 'language']
","['revolutionize', 'spoken'] 
",1
"Further, generation systems could add prosodic  information to signal syntactic structure and discourse structure,
","['generation systems', 'prosodic information', 'signal syntactic structure discourse structure']
","['add'] 
",0
"Facilitating leverage tltrough shared resources.
","['leverage', 'resources']
","['Facilitating', 'tltrough shared'] 
",1
"To address the problem of lack of leverage, several  projects could be funded to support efforts throughout a significant portion of the community.
","['problem lack leverage', 'several projects', 'support efforts', 'significant portion community']
","['address', 'funded'] 
",1
"We believe that such  projects will make both the conduct and the evaluation of natural language work substantially faster and easier; that  they can significantly reduce duplication of effort; that they can help to facilitate the individual researcher's efforts  on new work rather than on infrastructure: and that they can materially increase the compatibility of research and  development activities at different sites.
","['projects', 'conduct evaluation', 'natural language work', 'duplication effort', 'individual researcher', 'efforts', 'new work', 'infrastructure', 'compatibility research development activities', 'different sites']
","['believe', 'make', 'significantly reduce', 'help facilitate', 'materially increase'] 
",1
"Examples of infrastructure include:
","['Examples infrastructure']
","['include'] 
",0
"1.
","[]
","[] 
",0
"Collection and labeling of several corpora of various genres (dialogues, essays, narratives, etc.).
","['Collection', 'several corpora', 'various genres', 'dialogues', 'essays', 'narratives']
","['labeling'] 
",0
"Some  experts believe a corpus of 100,000,000 words is required.
","['Some experts', 'corpus', 'words']
","['believe', 'required'] 
",1
"The labeling should include part of speech,
","['part speech']
","['labeling include'] 
",0
"488
","[]
","[] 
",0
"syntactic structure reformation, co-reference, and any semantic/pragmatic information that can be  reliably added.
","['syntactic structure reformation', 'co-reference', 'semantic/pragmatic information']
","['reliably added'] 
",0
"2.
","[]
","[] 
",0
"Distribution and maintenance of  two or more of the most extensive grammars and parsers of  English.
","['Distribution maintenance', 'extensive grammars parsers English']
","[] 
",0
"3.
","[]
","[] 
",0
"Collection o f  a substantial lexicon with feature information that is uncontroversial.
","['Collection', 'substantial lexicon feature information']
","['f'] 
",0
"(Since the largest  lexicons thus far have been about 10,000 words, the size should be at least 20,000.)
","['lexicons', 'words', 'size']
","[] 
",0
"4.
","[]
","[] 
",0
"Maintenance of  two or more knowledge representation and reasoning systems.
","['Maintenance', 'knowledge representation', 'systems']
","['reasoning'] 
",0
"5.
","[]
","[] 
",0
"Distribution and maintenance of  two or three natural language interfaces.
","['Distribution maintenance', 'natural language interfaces']
","[] 
",0
"6.
","[]
","[] 
",0
"Distribution of  one or more ""backend""  systems to serve as the target o f  an interface.
","['Distribution', 'backend', 'systems', 'target', 'f interface']
","['serve'] 
",0
"3.2.
","[]
","[] 
",0
"Measures of Progress
","['Measures Progress']
","[] 
",0
"The means o f  measunng progress is still an active area of  discussion among NL scientists, as evidenced by
","['The means', 'measunng progress', 'active area discussion', 'NL scientists']
","['f', 'evidenced'] 
",1
"the Workshop on Natural Language Evaluation held outside Philadelphia in December 1988.
","['Workshop Natural Language Evaluation', 'outside Philadelphia December']
","['held'] 
",0
"Measures of
","['Measures']
","[] 
",0
"correctness can be relatively simply stated for database query systems without dialogue capabilities (e.g.-, without
","['correctness', 'stated database query systems', 'dialogue capabilities']
","[] 
",0
"sequence-related queries or clarifications), or for text analysis systems for database entry.
","['sequence-related queries clarifications', 'text analysis systems', 'database entry']
","[] 
",0
"They are much more
","[]
","[] 
",0
"difficult to state when stylistic matters need to be considered (as in MT systems) or when system responses affect
","['difficult state', 'stylistic matters', 'MT systems', 'system responses']
","['need considered', 'affect'] 
",1
"subsequent user utterances.
","['subsequent user utterances']
","[] 
",0
"They probably can' t  be usefully stated in a domain- or task-independent way.
","['domain- task-independent way']
","['usefully stated'] 
",0
"Measures
","['Measures']
","[] 
",0
"of  task difficulty, or o f  ambiguity o f  the language model, analogous to speech recogmtion's perplexity, are much
","['task difficulty', 'f ambiguity', 'f language model', 'analogous speech recogmtion', 'perplexity']
","[] 
",0
"more difficult to state.
","['difficult state']
","[] 
",0
"Measurement of  NL systems requires three distinct types of  comparisons:
","['Measurement NL systems', 'distinct types comparisons']
","['requires'] 
",0
"1.
","[]
","[] 
",0
"Longitudinal: It is critical to be able to measure the performance of  a system over time, so that  progress can be tracked.
","['critical able measure performance system time', 'progress']
","['tracked'] 
",0
"2.
","[]
","[] 
",0
"Cross-System: It should be possible to compare the overall performance of  two systems in explicit  terms.
","['Cross-System', 'possible compare overall performance', 'systems', 'explicit terms']
","[] 
",0
"This focus on whole-system performance will help localize the strengths and weaknesses of   complete systems and will identify topics for research and development efforts.
","['whole-system performance help', 'strengths weaknesses', 'complete systems', 'topics research development efforts']
","['focus', 'localize', 'identify'] 
",1
"3.
","[]
","[] 
",0
"Component: It should be possible to evaluate and compare parts o f  systems and evaluate coverage of   unknown phenomena.
","['Component', 'possible evaluate compare parts', 'systems', 'evaluate coverage', 'unknown phenomena']
","['f'] 
",0
"This focus on components will help point out areas of  relative strength in  different systems and will provide priorities and goals for specific research.
","['This focus', 'areas', 'relative strength', 'different systems', 'priorities goals', 'specific research']
","['components help point', 'provide'] 
",1
"4.
","[]
","[] 
",0
"I m p a c t
","['c']
","['p'] 
",0
"4.1.
","[]
","[] 
",0
"P o t e n t i a l  I m p a c t
","['P e', 'l', 'c']
","['p'] 
",0
"One way to assess potential impact is via a holistic, subjective view.
","['way', 'assess potential impact', 'subjective view']
","[] 
",0
"The following is a summary of  a
","['The following summary']
","[] 
",0
"market survey that uses this approach: 1
","['market survey', 'approach']
","['uses'] 
",0
"Considering the question of feasibility (on NLP systems) first, the answer must be ""yes""  ...
","['question feasibility', 'NLP systems']
","['Considering', 'answer', 'yes'] 
",1
"The second - easier - issue, is whether people will really want computer NLP.
","['issue', 'people', 'computer NLP']
","['really want'] 
",0
"In the style of some systems of logic, it  can be resolved by testing for the negative: under what circumstances would people not want computers to handle  natural language, given that they can satisfy price and performance requirements?
","['style systems logic', 'circumstances', 'people', 'computers', 'natural language', 'satisfy price performance requirements']
","['resolved testing', 'want', 'handle', 'given'] 
",1
"The only obvious answers are:  where a routine action (such as pressing a button or keying in a standard command) is quicker or more convenient:  where communication in a strictly formalized language is more reliable, precise, or subtle: and where there are  ovemding requirements for human involvement, ranging from legal obligations to job preservation.
","['The obvious answers', 'routine action', 'button', 'standard command', 'quicker convenient', 'communication', 'language', 'ovemding requirements', 'human involvement', 'legal obligations job preservation']
","['pressing', 'keying', 'strictly formalized', 'ranging'] 
",1
"These
","[]
","[] 
",0
"tTim Johnson, Natural language computing: the commercial applications, Ovum LTD, London, 1985, pp.
","['tTim Johnson', 'Natural language computing', 'commercial applications', 'Ovum LTD', 'London', 'pp']
","[] 
",0
"45-46
","[]
","[] 
",0
"489
","[]
","[] 
",0
"considerations will rule out quite a number of possible applications, but the broad conclusion must be that ff the  technology is available, then it will be widely used.
","['considerations', 'number', 'possible applications', 'broad conclusion', 'technology']
","['rule', 'ff', 'widely used'] 
",1
"We illustrate the conclusion above in the following three subsections.
","['conclusion', 'subsections']
","['illustrate', 'following'] 
",1
"A second way to view impact is to
","['A second way view impact']
","[] 
",0
"quantify the potential marketplace.
","['potential marketplace']
","['quantify'] 
",0
"We report on this approach in Section 4.1.6.
","['approach Section']
","['report'] 
",0
"4.1.1.
","[]
","[] 
",0
"Human.machine  Interaction Systems
","['Human.machine Interaction']
","[] 
",0
"It is difficult to overestimate or overstate the technical, scientific, and socio-economic value of an effective
","['difficult overestimate overstate', 'socio-economic value']
","[] 
",0
"and efficient means of human-machine interaction.
","['human-machine interaction']
","['means'] 
",0
"Even so, it is easy to lose sight of the importance of the interface
","['easy lose sight importance interface']
","[] 
",0
"in the effort to develop some underlying functionality.
","['effort', 'underlying functionality']
","['develop'] 
",0
"Indeed, it is worth pointing out that the ideal interface is
","['ideal interface']
","['pointing'] 
",0
"""invisible,"" in the sense that users find it so natural and easy to use that they are never aware of the interface itself.
","['sense users', 'natural easy use', 'aware interface']
","['find'] 
",0
"Such interfaces will make computers usable by everyone, without special training.
","['Such interfaces', 'computers', 'usable everyone', 'special training']
","['make'] 
",0
"Components of this work could
","['Components work']
","[] 
",0
"be incorporated into virtually every human-machine system developed or supported by the government.
","['every human-machine system', 'supported government']
","['incorporated', 'developed'] 
",1
"Just as
","[]
","[] 
",0
"independent menu, graphic, text, and speech I/0 capabilities have evolved from DARPA-supported work, so wLll the
","['independent menu', 'speech I/0 capabilities', 'DARPA-supported work', 'wLll']
","['evolved'] 
",0
"integrated, multimodal problem-solving environments made possible by work on interfaces become commonplace.
","['multimodal problem-solving environments', 'possible work interfaces', 'commonplace']
","['integrated', 'made', 'become'] 
",1
"4.1.2.
","[]
","[] 
",0
"Reading And Writing Text
","['Writing Text']
","['Reading'] 
",0
"Virtually all workplaces are inundated by documents, forms, messages, memos, and reference archives.
","['workplaces', 'documents', 'forms', 'messages', 'memos', 'reference archives']
","['inundated'] 
",0
"With far more computing power and memory at the fingertips of office staff, with the rapid growth in networks, and
","['power memory fingertips office staff', 'rapid growth networks']
","['far computing'] 
",0
"with the demand for timely information, it is not wild speculation to foresee a crisis of information gridlock in whole
","['demand', 'timely information', 'wild speculation foresee crisis information gridlock whole']
","[] 
",0
"organizations.
","['organizations']
","[] 
",0
"Those who can digest the necessary information first will have the advantage in the economic,
","['necessary information']
","[] 
",0
"political, and military battles of the future.
","['military battles']
","['future'] 
",0
"The problem is not merely one of ingesting new information, though;
","['The problem', 'new information']
","['ingesting'] 
",0
"productivity in retrieving, editing, maintaining, and mat ing  information is also critical.
","['productivity retrieving', 'information']
","['editing', 'maintaining', 'ing'] 
",1
"Consider the potential in the area of intelligence analysis.
","['potential area intelligence analysis']
","['Consider'] 
",0
"Impressive improvements in the means of
","['Impressive improvements means']
","[] 
",0
"collecting data for intelligence analysis have far outstripped advances in technology to help the intelligence analyst
","['data intelligence analysis', 'advances technology help', 'analyst']
","['collecting', 'far outstripped', 'intelligence'] 
",1
"use the data collected.
","['use data']
","['collected'] 
",0
"It is now possible to collect more free text reports than can possibly be digested.
","['possible collect free text reports']
","['possibly digested'] 
",0
"The reports  come in many languages, not just English.
","['The reports', 'many languages', 'English']
","['come'] 
",0
"The availability of reports is going to grow further in the 1990s, but there
","['The availability']
","['reports going grow'] 
",0
"is no hope for commensurate personnel increases to deal with the availability of data.
","['hope commensurate personnel', 'deal availability data']
","['increases'] 
",0
"Natural language processing
","['Natural language processing']
","[] 
",0
"seems the only hope for aiding in the selection, prioritization, filtering, and analysis of data.
","['hope', 'selection', 'prioritization', 'filtering', 'analysis data']
","['seems', 'aiding'] 
",1
"The kinds of aids or utilities that would provide help are broad in scope:
","['The kinds', 'aids utilities', 'help', 'broad scope']
","['provide'] 
",0
"• L a n g u a g e  ident i f icat ion .
","['• L n g', 'u g e ident f icat ion']
","[] 
",0
"Given a segment of free text, identifying the languages it is written in.
","['segment', 'free text', 'languages']
","['Given', 'identifying', 'written'] 
",1
"• Pr ior i t i za t ion .
","['• Pr ior za ion']
","[] 
",0
"Given a message (in free text), assigning a priority to it, based on message content.
","['message', 'free text', 'priority', 'message content']
","['Given', 'assigning', 'based'] 
",1
"• Rou t ing .
","['• Rou ing']
","[] 
",0
"Determining which offices should receive a copy of the text based on its content.
","['offices', 'copy text', 'content']
","['Determining', 'receive', 'based'] 
",1
"• Gis t ing .
","['• Gis ing']
","[] 
",0
"Automatically adding records to a database, given the content of free text.
","['records database', 'content free text']
","['Automatically adding', 'given'] 
",1
"• Fus ion .
","['• Fus ion']
","[] 
",0
"Recognizing that a new piece of text correlates with previously known information.
","['new piece text', 'information']
","['Recognizing', 'correlates previously known'] 
",1
"Identification of what is new in the message, what corroborates known data, and what conflicts with  known data.
","['Identification', 'new message', 'data', 'conflicts', 'data']
","['corroborates known', 'known'] 
",1
"• R e p o r t  genera t ion .
","['• R e p r genera ion']
","[] 
",0
"Automatic preparation of text and tables describing a message, set of  messages, or  situation.
","['Automatic preparation text tables', 'message', 'messages', 'situation']
","['describing', 'set'] 
",1
"• A ler t s .
","['A ler']
","['•'] 
",0
